content,score,sentiment,text_clean
Bagus,5,positif,bagus
ok,5,positif,ok
apk yang bagus untuk berekreasi dan memproduksi konten sekaligus belajar,5,positif,apk bagus rekreasi produksi konten ajar
aplikasinya bermanfaat banget . semua permasalahan hidup ada di lemon.,5,positif,aplikasi manfaat banget masalah hidup lemon
sangat menarik,5,positif,tarik
"byk berbagi ilmu, terimakasih teman-teman semua",5,positif,banyak bagi ilmu terimakasih temanteman
suka banget 👍👍👍👍👍,5,positif,suka banget
belum ada pengalaman baru mau mulai,5,positif,alam
sangat bagus,5,positif,bagus
sangat bermanfaat,5,positif,manfaat
resepmya kadang tidak ada,1,negatif,resepmya kadang
mantul,5,positif,mantapbetul
pokoknya seru main di lemon8,5,positif,pokok seru main lemon
ok sih...meskipun gtu2 aja,5,positif,ok sihmeskipun begitu saja
apk sangat membantu,5,positif,apk bantu
saya kasih Lima 5bintang,5,positif,kasih bintang
Baik dan menghibur,4,positif,hibur
sangat membantu dalam pencarian menu😍,5,positif,bantu cari menu
good,5,positif,good
mantap aplikasi enak di gunakan sangat membatu buat kita,5,positif,mantap aplikasi enak batu
bisa mengetahui hal penting dalam kehidupan,5,positif,hidup
aplikasinya sangat bagus dan banyak challenge'snya jgaa,5,positif,aplikasi bagus challengesnya jgaa
bnyak mengispirasi terutama dari akun memasak,5,positif,banyak mengispirasi akun masak
konten nya menarik dan bermanfaat,5,positif,konten nya tarik manfaat
saya baru kali ini masuk di aplikasi lemon8,3,netral,kali masuk aplikasi lemon
saya dapat banyak ide utk masakan.,5,positif,ide untuk masakan
ak yang kumpliiiit jos gandos,5,positif,aku kumpliiiit jos gandos
sangat membantu bagus,4,positif,bantu bagus
cuma skedar konten gk ada live nya gk seru,3,netral,sekadar konten enggak live nya enggak seru
"menyenangkan membuka lemon8, banyak ide2 untuk masak dan merapihkan rumah",5,positif,senang buka lemon ide masak merapihkan rumah
mantap,5,positif,mantap
"Saya senang menggunakan lemon8, tapi saya masih belum tau bagaimana cara mendapatkan hadih atau uang melalui aplikasi ini. Kemudian untuk berkembang juga lumayan sulit, tapi saya happy with lemon8",5,positif,senang lemon tahu hadih uang aplikasi kembang lumayan sulit happy with lemon
cukup bermanfaat,5,positif,manfaat
By@leopard2326 'Lemon8 Qualitas itu HARGA Kinerja menjadi Cepat Tepat& Akurat '.,5,positif,by lemon qualitas harga kerja cepat akurat
banyak ide2 buat jualan,5,positif,ide jual
bagus jadi tambah ilmu,5,positif,bagus ilmu
semua-muanya ada pkoknya diapk ini .besttt,5,positif,semuamuanya pokok diapk besttt
"isinya sekarang kebanyakan gosip dan hal yang ga penting, ga kaya dulu",2,negatif,isi banyak gosip enggak enggak kayak
"saya suka banyak inspirasi buat menu simple ,dan bisa buat motivasi untuk berniaga",3,netral,suka inspirasi menu sederhana motivasi niaga
disinilah tempat bertukar pengalaman yg positif dan slalu menginspirasi,4,positif,tukar alam yang positif selalu inspirasi
catchi banget app nya,4,positif,catchi banget app nya
banyk tips yg positif ....bnyknilmu yg d dapat,5,positif,banyk tips yang positif bnyknilmu yang ada
waaah rajin tugas 😆😆😆😆😆,5,positif,waaah rajin tugas
jangan muncul di notif saya,1,negatif,muncul notif
bagus banget,5,positif,bagus banget
Alhamdulilah bgs mmng productnya krn sy pke 1.pket .,5,positif,alhamdulilah bagus mmng productnya karena saya pakai pket
lebih banyak inovasi event dan rewards agar lebih banyak pengguna lemon8,5,positif,inovasi event rewards guna lemon
banyak balajar disinj,5,positif,balajar disinj
aku suka aplikasi ini krna kalo masak masak smuanya sudah ad smua lengkap banget,5,positif,suka aplikasi karena kalau masak masak semua ada semua lengkap banget
Tp jarang di Sebar kan ke pengikut agak kecewa sih,5,positif,tapi jarang sebar ikut kecewa sih
good,5,positif,good
"sbnrnya dg apl Lemon8 bnyak netizen terbantu dlm bnyak hal, tp knp saya msh bingung dg melihat beranda, krn orang yg saya ikuti hrs d cari. spt tdk ada tanda postingan dr yg saya ikuti. atau mgkin saya tdk mnmukn tanda itu",5,positif,sbnrnya dengan apl lemon banyak netizen bantu dalam banyak tapi kenapa masih bingung dengan beranda karena orang yang ikut harus ada cari seperti tidak tanda postingan dari yang ikut mungkin tidak mnmukn tanda
bagus,5,positif,bagus
seru aplikaainya banyak tips2 yang bermanfaat,5,positif,seru aplikaainya tips manfaat
mantap apikasinya👍,5,positif,mantap apikasinya
ok lemi8 Saya nak mencari apa saja semua ada di lemon8 saya suka mencari resep masakan 🤣🤣👍👍👍,5,positif,ok lem nak cari lemon suka cari resep masakan
baru douwnloud sich..masih fomo hehe,5,positif,douwnloud sichmasih fomo ketawa
lemon8 vidionya lucu2.saya suka buka lemon8,5,positif,lemon vidionya lucusaya suka buka lemon
Bagus sangat membantu,5,positif,bagus bantu
belum tahu cara menggunakannya,5,positif,guna
Banyak info yg berguna. Tks,5,positif,info yang guna terimakasih
saya. sangat senang sekali ikut aplikasi lemon8 banyak pengalaman👍👍👍,5,positif,senang aplikasi lemon alam
bagus,5,positif,bagus
trima kasi untuk lemon8aplikasi nya membantu sekali.semuanya lengkap ada disini❤❤❤👍,5,positif,terima kasih lemonaplikasi nya bantu sekalisemuanya lengkap
"Seru banget pakai Lemon8! 🍋 Tempat yang penuh inspirasi, vibes-nya positif, dan komunitasnya suportif. Bisa berbagi gaya hidup, foto estetik, dan cerita sehari-hari dengan orang yang punya minat sama.",5,positif,seru banget pakai lemon penuh inspirasi vibesnya positif komunitas suportif bagi gaya hidup foto estetik cerita seharihari orang minat
sangat membantu,5,positif,bantu
terimakasih 🙏,5,positif,terimakasih
menyenangkan dan bagus,5,positif,senang bagus
good,5,positif,good
